data.average.firstView,data.average.firstView.Colordepth,data.average.firstView.FirstInteractive,data.average.firstView.FirstPaintedHero,data.average.firstView.LastInteractive,data.average.firstView.LastPaintedHero,data.average.firstView.PerformancePaintTiming.first-contentful-paint,data.average.firstView.PerformancePaintTiming.first-paint,data.average.firstView.SpeedIndex,data.average.firstView.TTFB,data.average.firstView.TTIMeasurementEnd,data.average.firstView.TimeToInteractive,data.average.firstView.aft,data.average.firstView.avgRun,data.average.firstView.basePageSSLTime,data.average.firstView.bigImageCount,data.average.firstView.bytesIn,data.average.firstView.bytesInDoc,data.average.firstView.bytesOut,data.average.firstView.bytesOutDoc,data.average.firstView.cached,data.average.firstView.chromeUserTiming.InteractiveTime,data.average.firstView.chromeUserTiming.domComplete,data.average.firstView.chromeUserTiming.domContentLoadedEventEnd,data.average.firstView.chromeUserTiming.domContentLoadedEventStart,data.average.firstView.chromeUserTiming.domInteractive,data.average.firstView.chromeUserTiming.domLoading,data.average.firstView.chromeUserTiming.fetchStart,data.average.firstView.chromeUserTiming.firstContentfulPaint,data.average.firstView.chromeUserTiming.firstImagePaint,data.average.firstView.chromeUserTiming.firstLayout,data.average.firstView.chromeUserTiming.firstMeaningfulPaint,data.average.firstView.chromeUserTiming.firstMeaningfulPaintCandidate,data.average.firstView.chromeUserTiming.firstPaint,data.average.firstView.chromeUserTiming.firstTextPaint,data.average.firstView.chromeUserTiming.loadEventEnd,data.average.firstView.chromeUserTiming.loadEventStart,data.average.firstView.chromeUserTiming.responseEnd,data.average.firstView.chromeUserTiming.unloadEventEnd,data.average.firstView.chromeUserTiming.unloadEventStart,data.average.firstView.connections,data.average.firstView.cpu.Idle,data.average.firstView.cpu.Paint,data.average.firstView.date,data.average.firstView.docTime,data.average.firstView.domComplete,data.average.firstView.domContentLoadedEventEnd,data.average.firstView.domContentLoadedEventStart,data.average.firstView.domElements,data.average.firstView.domInteractive,data.average.firstView.domLoading,data.average.firstView.domTime,data.average.firstView.effectiveBps,data.average.firstView.effectiveBpsDoc,data.average.firstView.final_base_page_request,data.average.firstView.firstContentfulPaint,data.average.firstView.firstImagePaint,data.average.firstView.firstLayout,data.average.firstView.firstMeaningfulPaint,data.average.firstView.firstPaint,data.average.firstView.firstTextPaint,data.average.firstView.fullyLoaded,data.average.firstView.fullyLoadedCPUms,data.average.firstView.fullyLoadedCPUpct,data.average.firstView.gzip_savings,data.average.firstView.gzip_total,data.average.firstView.heroElementTimes.BackgroundImage,data.average.firstView.heroElementTimes.FirstPaintedHero,data.average.firstView.heroElementTimes.Heading,data.average.firstView.heroElementTimes.Image,data.average.firstView.heroElementTimes.LastPaintedHero,data.average.firstView.image_savings,data.average.firstView.image_total,data.average.firstView.lastVisualChange,data.average.firstView.lighthouse.Accessibility,data.average.firstView.lighthouse.BestPractices,data.average.firstView.lighthouse.Performance,data.average.firstView.lighthouse.Performance.estimated-input-latency,data.average.firstView.lighthouse.Performance.first-contentful-paint,data.average.firstView.lighthouse.Performance.first-cpu-idle,data.average.firstView.lighthouse.Performance.first-meaningful-paint,data.average.firstView.lighthouse.Performance.interactive,data.average.firstView.lighthouse.Performance.max-potential-fid,data.average.firstView.lighthouse.Performance.speed-index,data.average.firstView.lighthouse.ProgressiveWebApp,data.average.firstView.lighthouse.SEO,data.average.firstView.loadEventEnd,data.average.firstView.loadEventStart,data.average.firstView.loadTime,data.average.firstView.maybeCaptcha,data.average.firstView.minify_savings,data.average.firstView.minify_total,data.average.firstView.optimization_checked,data.average.firstView.render,data.average.firstView.requests,data.average.firstView.requestsDoc,data.average.firstView.requestsFull,data.average.firstView.responses_200,data.average.firstView.responses_404,data.average.firstView.responses_other,data.average.firstView.result,data.average.firstView.run,data.average.firstView.score_cache,data.average.firstView.score_cdn,data.average.firstView.score_combine,data.average.firstView.score_compress,data.average.firstView.score_cookies,data.average.firstView.score_etags,data.average.firstView.score_gzip,data.average.firstView.score_keep-alive,data.average.firstView.score_minify,data.average.firstView.score_progressive_jpeg,data.average.firstView.server_rtt,data.average.firstView.smallImageCount,data.average.firstView.start_epoch,data.average.firstView.step,data.average.firstView.testStartOffset,data.average.firstView.test_run_time_ms,data.average.firstView.titleTime,data.average.firstView.userTime,data.average.firstView.userTime.snaptr,data.average.firstView.visualComplete,data.average.firstView.visualComplete85,data.average.firstView.visualComplete90,data.average.firstView.visualComplete95,data.average.firstView.visualComplete99,data.bwDown,data.bwUp,data.completed,data.connectivity,data.from,data.fvonly,data.id,data.latency,data.location,data.mobile,data.plr,data.successfulFVRuns,data.summary,data.testRuns,data.testUrl,data.tester,data.url,speedtracker.day,speedtracker.month,speedtracker.slug,speedtracker.week,speedtracker.year,statusCode,statusText,webPagetestVersion
,24.0,,,,,3556.8000000058,3556.8000000058,6602.0,1578.0,,,0.0,1.0,701.0,12.0,6585919.0,6183872.0,57930.0,53867.0,0.0,,14680.0,3146.0,3138.0,3137.0,1589.0,20.0,3556.0,3556.0,3496.0,3556.0,3556.0,3556.0,3556.0,14756.0,14680.0,1979.0,1588.0,1588.0,21.0,,,1540685703.592905,14681.0,14681.0,3147.0,3138.0,1198.0,3138.0,0.0,0.0,339008.0,471943.0,1.0,3557.0,3557.0,3497.0,3557.0,3556.8000000058,3557.0,21005.0,21229.0,51.2430605841,44880.0,2622053.0,,,,,,24850.0,3808512.0,9300.0,0.6,0.8,0.24,1851.4479999999999,4014.8340000000003,4921.564,4921.564,49231.0280000038,,10033.0,0.31,1.0,14756.0,14681.0,14681.0,0.0,-1.0,-1.0,1.0,3700.0,234.0,174.0,234.0,181.0,1.0,52.0,99999.0,1.0,35.0,93.0,-1.0,100.0,-1.0,-1.0,99.0,100.0,-1.0,0.0,0.0,7.0,0.0,1.0,0.0,28906.0,0.0,10037.0,10037.0,9300.0,9300.0,9300.0,9300.0,9300.0,9000,9000,1540685815,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181028_D3_3e5d6841e8fd10e8bbe2b756346ec314,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181028_D3_3e5d6841e8fd10e8bbe2b756346ec314,,https://jet.com/product/LaCroix-Sparkling-Water-Grapefruit-12-Fl-Oz-12-Ct-Pack-of-2/24850325e3fd4e8aa3a98bae997b6cbd?experienceId=22,VM1-07-192.168.11.94,https://jet.com/product/LaCroix-Sparkling-Water-Grapefruit-12-Fl-Oz-12-Ct-Pack-of-2/24850325e3fd4e8aa3a98bae997b6cbd?experienceId=22,27,10,product22,43,2018,200,Test Complete,18.1
,24.0,,,,,3269.0000000002,3269.0000000002,5308.0,1604.0,,,0.0,1.0,700.0,13.0,6650583.0,6258547.0,58803.0,54764.0,0.0,,15437.0,3304.0,3300.0,3300.0,1614.0,27.0,3269.0,3269.0,3242.0,9764.0,9764.0,3269.0,3269.0,15486.0,15437.0,1997.0,1613.0,1613.0,23.0,,,1540685839.258368,15438.0,15437.0,3305.0,3300.0,1166.0,3300.0,0.0,0.0,343061.0,452403.0,1.0,3269.0,3269.0,3242.0,9764.0,3269.0000000002,3269.0,20990.0,19699.0,45.952880802399996,15455.0,2593560.0,,,,,,22270.0,3903160.0,8300.0,0.6,0.8,0.25,1548.8229999999999,3923.4120000000003,4823.882000000001,4823.882000000001,47214.444,,9803.0,0.31,1.0,15486.0,15437.0,15438.0,0.0,-1.0,-1.0,1.0,3300.0,229.0,177.0,229.0,179.0,1.0,49.0,99999.0,1.0,36.0,93.0,-1.0,100.0,-1.0,-1.0,100.0,100.0,-1.0,0.0,0.0,7.0,0.0,1.0,0.0,29828.0,0.0,9845.0,9845.0,8300.0,7800.0,7800.0,8000.0,8300.0,9000,9000,1540686010,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181028_CJ_8f9de0ec67d6675047d38dbea98177c4,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181028_CJ_8f9de0ec67d6675047d38dbea98177c4,,https://jet.com/product/LaCroix-Sparkling-Water-Grapefruit-12-Fl-Oz-12-Ct-Pack-of-2/24850325e3fd4e8aa3a98bae997b6cbd?experienceId=22,VM2-08-192.168.11.105,https://jet.com/product/LaCroix-Sparkling-Water-Grapefruit-12-Fl-Oz-12-Ct-Pack-of-2/24850325e3fd4e8aa3a98bae997b6cbd?experienceId=22,27,10,product22,43,2018,200,Test Complete,18.1
,24.0,,,,,3454.7999999995,3454.7999999995,5563.0,1649.0,,,0.0,1.0,704.0,13.0,6649925.0,6247876.0,58936.0,53614.0,0.0,,13858.0,3169.0,3165.0,3164.0,1661.0,9.0,3454.0,3454.0,3375.0,3454.0,3454.0,3454.0,3454.0,13922.0,13858.0,2048.0,1659.0,1659.0,20.0,,,1540685920.733602,13859.0,13859.0,3170.0,3165.0,1173.0,3165.0,0.0,0.0,366690.0,511701.0,1.0,3455.0,3455.0,3376.0,3455.0,3454.7999999995,3455.0,19784.0,18560.0,46.927939317299995,15453.0,2592546.0,,,,,,22270.0,3903118.0,7800.0,0.6,0.8,0.51,1447.515,3962.284,4853.039000000002,4853.039000000002,4849.311,,9984.0,0.31,1.0,13923.0,13859.0,13859.0,0.0,-1.0,-1.0,1.0,3500.0,233.0,171.0,233.0,179.0,1.0,53.0,99999.0,1.0,35.0,93.0,-1.0,100.0,-1.0,-1.0,100.0,100.0,-1.0,0.0,0.0,7.0,0.0,1.0,0.0,28117.0,0.0,8970.0,8970.0,7800.0,7300.0,7300.0,7300.0,7800.0,9000,9000,1540686028,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181028_NZ_d94468097edd271acce7efa326a2903c,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181028_NZ_d94468097edd271acce7efa326a2903c,,https://jet.com/product/LaCroix-Sparkling-Water-Grapefruit-12-Fl-Oz-12-Ct-Pack-of-2/24850325e3fd4e8aa3a98bae997b6cbd?experienceId=22,VM3-07-192.168.11.114,https://jet.com/product/LaCroix-Sparkling-Water-Grapefruit-12-Fl-Oz-12-Ct-Pack-of-2/24850325e3fd4e8aa3a98bae997b6cbd?experienceId=22,27,10,product22,43,2018,200,Test Complete,18.1
,24.0,,,,,3294.8999999935,3294.8999999935,5309.0,1597.0,,,0.0,1.0,702.0,12.0,6556504.0,6164181.0,60280.0,55552.0,0.0,,15512.0,3335.0,3329.0,3329.0,1606.0,4.0,3294.0,3294.0,3269.0,9645.0,9645.0,3294.0,3294.0,15584.0,15513.0,1998.0,1605.0,1605.0,24.0,,,1540709718.3716779,15513.0,15512.0,3335.0,3329.0,1175.0,3329.0,0.0,0.0,337964.0,442956.0,1.0,3295.0,3295.0,3269.0,9645.0,3294.8999999935,3295.0,20997.0,19690.0,47.503015681499996,15452.0,2593560.0,,,,,,24850.0,3808512.0,8500.0,0.6,0.8,0.24,1439.092,3883.468,4783.935,4783.935,47464.97,,11073.0,0.31,1.0,15584.0,15513.0,15513.0,0.0,-1.0,-1.0,1.0,3300.0,242.0,184.0,242.0,183.0,1.0,58.0,99999.0,1.0,35.0,93.0,-1.0,100.0,-1.0,-1.0,100.0,100.0,-1.0,0.0,0.0,7.0,0.0,1.0,0.0,29132.0,0.0,9685.0,9685.0,8500.0,8000.0,8000.0,8000.0,8500.0,9000,9000,1540709828,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181028_7K_f5800090285d858680753c3a7d502271,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181028_7K_f5800090285d858680753c3a7d502271,,https://jet.com/product/LaCroix-Sparkling-Water-Grapefruit-12-Fl-Oz-12-Ct-Pack-of-2/24850325e3fd4e8aa3a98bae997b6cbd?experienceId=22,VM1-07-192.168.11.94,https://jet.com/product/LaCroix-Sparkling-Water-Grapefruit-12-Fl-Oz-12-Ct-Pack-of-2/24850325e3fd4e8aa3a98bae997b6cbd?experienceId=22,28,10,product22,43,2018,200,Test Complete,18.1
,24.0,,,,,3308.1999999995,3308.1999999995,5415.0,1604.0,,,0.0,1.0,701.0,13.0,6681973.0,6279969.0,58234.0,54147.0,0.0,,14164.0,3351.0,3344.0,3344.0,1614.0,9.0,3308.0,3308.0,3282.0,3308.0,3308.0,3308.0,3308.0,14227.0,14164.0,2004.0,1613.0,1613.0,21.0,,,1540711341.234797,14164.0,14164.0,3351.0,3345.0,1164.0,3344.0,0.0,0.0,361265.0,499997.0,1.0,3308.0,3308.0,3282.0,3308.0,3308.1999999995,3308.0,20100.0,18599.0,46.7454134205,44877.0,2622266.0,,,,,,22270.0,3903160.0,7600.0,0.6,0.8,0.24,1540.533,4029.772,4927.449000000001,4927.449000000001,48882.8009999847,,10032.0,0.31,1.0,14227.0,14164.0,14164.0,0.0,-1.0,-1.0,1.0,3400.0,237.0,178.0,237.0,182.0,1.0,54.0,99999.0,1.0,35.0,93.0,-1.0,100.0,-1.0,-1.0,99.0,100.0,-1.0,0.0,0.0,7.0,0.0,1.0,0.0,27172.0,0.0,9038.0,9038.0,7600.0,7100.0,7100.0,7200.0,7600.0,9000,9000,1540711448,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181028_8J_607dc21dd7e492853f46ef8f0b36d768,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181028_8J_607dc21dd7e492853f46ef8f0b36d768,,https://jet.com/product/LaCroix-Sparkling-Water-Grapefruit-12-Fl-Oz-12-Ct-Pack-of-2/24850325e3fd4e8aa3a98bae997b6cbd?experienceId=22,VM1-05-192.168.12.42,https://jet.com/product/LaCroix-Sparkling-Water-Grapefruit-12-Fl-Oz-12-Ct-Pack-of-2/24850325e3fd4e8aa3a98bae997b6cbd?experienceId=22,28,10,product22,43,2018,200,Test Complete,18.1
,24.0,,,,,3435.2999999974,3435.1999999999,5738.0,1733.0,,,0.0,1.0,702.0,11.0,6184846.0,6146836.0,56818.0,52076.0,0.0,,13803.0,3468.0,3461.0,3461.0,1745.0,19.0,3435.0,3435.0,3404.0,3435.0,3435.0,3435.0,3435.0,13860.0,13803.0,2131.0,1744.0,1744.0,21.0,,,1540713896.460273,13803.0,13804.0,3469.0,3462.0,1165.0,3461.0,0.0,0.0,437648.0,509265.0,1.0,3435.0,3435.0,3404.0,3435.0,3435.1999999999,3435.0,15865.0,17749.0,50.598631698999995,13915.0,2586079.0,,,,,,24850.0,3508019.0,8000.0,0.6,0.8,0.25,1364.229,3844.612,4682.719,4682.719,47689.9479999924,,10853.0,0.31,1.0,13861.0,13804.0,13803.0,0.0,-1.0,-1.0,1.0,3400.0,180.0,169.0,180.0,149.0,1.0,30.0,99999.0,1.0,34.0,93.0,-1.0,100.0,-1.0,-1.0,100.0,100.0,-1.0,0.0,0.0,4.0,0.0,1.0,0.0,25104.0,0.0,9553.0,9553.0,8000.0,7700.0,7700.0,7700.0,8000.0,9000,9000,1540714001,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181028_2T_1ec0768f395a364ab9541ac6d663f1ed,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181028_2T_1ec0768f395a364ab9541ac6d663f1ed,,https://jet.com/product/LaCroix-Sparkling-Water-Grapefruit-12-Fl-Oz-12-Ct-Pack-of-2/24850325e3fd4e8aa3a98bae997b6cbd?experienceId=22,VM2-04-192.168.11.101,https://jet.com/product/LaCroix-Sparkling-Water-Grapefruit-12-Fl-Oz-12-Ct-Pack-of-2/24850325e3fd4e8aa3a98bae997b6cbd?experienceId=22,28,10,product22,43,2018,200,Test Complete,18.1
,24.0,,,,,3426.3999999966,3426.3999999966,6041.0,1609.0,,,0.0,1.0,706.0,13.0,6679043.0,6277375.0,58196.0,54155.0,0.0,,14709.0,3474.0,3468.0,3468.0,1621.0,16.0,3426.0,3426.0,3401.0,3426.0,3426.0,3426.0,3426.0,14781.0,14709.0,2013.0,1621.0,1621.0,21.0,,,1540729764.8302946,14709.0,14709.0,3474.0,3469.0,1171.0,3468.0,0.0,0.0,345527.0,479188.0,1.0,3426.0,3426.0,3402.0,3426.0,3426.3999999966,3426.0,20939.0,19809.0,48.105876639099996,44877.0,2620818.0,,,,,,22270.0,3903160.0,8500.0,0.6,0.8,0.52,1880.076,3860.256,4832.838,4832.838,4829.0,,9939.0,0.31,1.0,14781.0,14709.0,14709.0,0.0,-1.0,-1.0,1.0,3500.0,233.0,173.0,233.0,178.0,1.0,54.0,99999.0,1.0,36.0,93.0,-1.0,100.0,-1.0,-1.0,99.0,100.0,-1.0,0.0,0.0,7.0,0.0,1.0,0.0,29160.0,0.0,9572.0,9572.0,8500.0,8100.0,8100.0,8100.0,8500.0,9000,9000,1540729895,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181028_38_e7bf12f749af1b9bdfdc10eeee22b0aa,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181028_38_e7bf12f749af1b9bdfdc10eeee22b0aa,,https://jet.com/product/LaCroix-Sparkling-Water-Grapefruit-12-Fl-Oz-12-Ct-Pack-of-2/24850325e3fd4e8aa3a98bae997b6cbd?experienceId=22,VM3-04-192.168.11.111,https://jet.com/product/LaCroix-Sparkling-Water-Grapefruit-12-Fl-Oz-12-Ct-Pack-of-2/24850325e3fd4e8aa3a98bae997b6cbd?experienceId=22,28,10,product22,43,2018,200,Test Complete,18.1
,24.0,,,,,3798.9999999990996,3798.9999999990996,5975.0,1922.0,,,0.0,1.0,706.0,12.0,6476894.0,6140541.0,58143.0,54085.0,0.0,,14757.0,3841.0,3836.0,3835.0,1932.0,15.0,3799.0,3799.0,3775.0,3799.0,3799.0,3799.0,3799.0,14819.0,14757.0,2325.0,1931.0,1931.0,22.0,,,1540773789.146307,14758.0,14758.0,3842.0,3837.0,1112.0,3836.0,0.0,0.0,327744.0,478384.0,1.0,3799.0,3799.0,3776.0,3799.0,3798.9999999990996,3799.0,21684.0,19009.0,44.8560641812,15453.0,2576258.0,,,,,,24850.0,3806455.0,9200.0,0.6,0.8,0.41,2111.487,3997.417,6485.826,5001.084,6485.826,,9945.0,0.31,1.0,14820.0,14758.0,14758.0,0.0,-1.0,-1.0,1.0,3900.0,230.0,170.0,230.0,176.0,1.0,53.0,99999.0,1.0,34.0,93.0,-1.0,100.0,-1.0,-1.0,100.0,100.0,-1.0,0.0,0.0,5.0,0.0,1.0,0.0,29785.0,0.0,9638.0,9638.0,9200.0,8600.0,8600.0,8600.0,9200.0,9000,9000,1540773902,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181029_NJ_543cf3f45478bf8cd6cc984b562b3cd7,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181029_NJ_543cf3f45478bf8cd6cc984b562b3cd7,,https://jet.com/product/LaCroix-Sparkling-Water-Grapefruit-12-Fl-Oz-12-Ct-Pack-of-2/24850325e3fd4e8aa3a98bae997b6cbd?experienceId=22,VM2-02-192.168.11.99,https://jet.com/product/LaCroix-Sparkling-Water-Grapefruit-12-Fl-Oz-12-Ct-Pack-of-2/24850325e3fd4e8aa3a98bae997b6cbd?experienceId=22,28,10,product22,43,2018,200,Test Complete,18.1
,24.0,,,,,3293.399999995,3293.399999995,6498.0,1616.0,,,0.0,1.0,701.0,13.0,6684901.0,6282852.0,57669.0,53606.0,0.0,,15284.0,3324.0,3319.0,3318.0,1626.0,15.0,3293.0,3293.0,3261.0,3293.0,3293.0,3293.0,3293.0,15336.0,15284.0,2020.0,1626.0,1626.0,20.0,,,1540817890.1361392,15284.0,15284.0,3325.0,3319.0,1182.0,3319.0,0.0,0.0,331674.0,459676.0,1.0,3293.0,3293.0,3261.0,3293.0,3293.399999995,3293.0,21771.0,20329.0,47.367194781,44877.0,2626357.0,,,,,,22270.0,3903118.0,9200.0,0.6,0.8,0.24,1765.656,4097.544,4783.889,4783.889,49910.4069999924,,10193.0,0.31,1.0,15336.0,15284.0,15284.0,0.0,-1.0,-1.0,1.0,3400.0,232.0,172.0,232.0,180.0,1.0,51.0,99999.0,1.0,36.0,93.0,-1.0,100.0,-1.0,-1.0,99.0,100.0,-1.0,0.0,0.0,7.0,0.0,1.0,0.0,29790.0,0.0,9898.0,9898.0,9200.0,9200.0,9200.0,9200.0,9200.0,9000,9000,1540818022,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181029_PE_7cf63350ec15b78602eb1bc733924de0,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181029_PE_7cf63350ec15b78602eb1bc733924de0,,https://jet.com/product/LaCroix-Sparkling-Water-Grapefruit-12-Fl-Oz-12-Ct-Pack-of-2/24850325e3fd4e8aa3a98bae997b6cbd?experienceId=22,VM2-01-192.168.11.98,https://jet.com/product/LaCroix-Sparkling-Water-Grapefruit-12-Fl-Oz-12-Ct-Pack-of-2/24850325e3fd4e8aa3a98bae997b6cbd?experienceId=22,29,10,product22,44,2018,200,Test Complete,18.1
,24.0,,,,,3474.6000000014,3474.6000000014,5738.0,1755.0,,,0.0,1.0,703.0,13.0,6652082.0,6260302.0,57755.0,53052.0,0.0,,18075.0,3505.0,3501.0,3500.0,1768.0,23.0,3474.0,3474.0,3448.0,3474.0,3474.0,3474.0,3474.0,18132.0,18075.0,2159.0,1766.0,1766.0,19.0,,,1540826288.404999,18076.0,18075.0,3505.0,3501.0,1200.0,3500.0,0.0,0.0,351163.0,383573.0,1.0,3475.0,3475.0,3448.0,3475.0,3474.6000000014,3475.0,20698.0,19440.0,44.0117726964,15451.0,2594191.0,,,,,,22270.0,3903177.0,8800.0,0.6,0.8,0.24,1563.691,3939.0440000000003,4858.843,4858.843,46749.426,,10068.0,0.31,1.0,18132.0,18075.0,18076.0,0.0,-1.0,-1.0,1.0,3500.0,225.0,180.0,225.0,180.0,1.0,44.0,99999.0,1.0,35.0,91.0,-1.0,100.0,-1.0,-1.0,100.0,100.0,-1.0,0.0,0.0,7.0,0.0,1.0,0.0,31140.0,0.0,10115.0,10115.0,8800.0,8400.0,8400.0,8400.0,8800.0,9000,9000,1540826400,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181029_N0_2c89fb14816d3c11e3b3fab0dae0dea3,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181029_N0_2c89fb14816d3c11e3b3fab0dae0dea3,,https://jet.com/product/LaCroix-Sparkling-Water-Grapefruit-12-Fl-Oz-12-Ct-Pack-of-2/24850325e3fd4e8aa3a98bae997b6cbd?experienceId=22,VM4-06-192.168.11.124,https://jet.com/product/LaCroix-Sparkling-Water-Grapefruit-12-Fl-Oz-12-Ct-Pack-of-2/24850325e3fd4e8aa3a98bae997b6cbd?experienceId=22,29,10,product22,44,2018,200,Test Complete,18.1
