data.average.firstView.Colordepth,data.average.firstView.FirstInteractive,data.average.firstView.LastInteractive,data.average.firstView.PerformancePaintTiming.first-contentful-paint,data.average.firstView.PerformancePaintTiming.first-paint,data.average.firstView.SpeedIndex,data.average.firstView.TTFB,data.average.firstView.TTIMeasurementEnd,data.average.firstView.TimeToInteractive,data.average.firstView.aft,data.average.firstView.avgRun,data.average.firstView.basePageSSLTime,data.average.firstView.bigImageCount,data.average.firstView.bytesIn,data.average.firstView.bytesInDoc,data.average.firstView.bytesOut,data.average.firstView.bytesOutDoc,data.average.firstView.cached,data.average.firstView.chromeUserTiming.InteractiveTime,data.average.firstView.chromeUserTiming.domComplete,data.average.firstView.chromeUserTiming.domContentLoadedEventEnd,data.average.firstView.chromeUserTiming.domContentLoadedEventStart,data.average.firstView.chromeUserTiming.domInteractive,data.average.firstView.chromeUserTiming.domLoading,data.average.firstView.chromeUserTiming.fetchStart,data.average.firstView.chromeUserTiming.firstContentfulPaint,data.average.firstView.chromeUserTiming.firstImagePaint,data.average.firstView.chromeUserTiming.firstLayout,data.average.firstView.chromeUserTiming.firstMeaningfulPaint,data.average.firstView.chromeUserTiming.firstMeaningfulPaintCandidate,data.average.firstView.chromeUserTiming.firstPaint,data.average.firstView.chromeUserTiming.firstTextPaint,data.average.firstView.chromeUserTiming.loadEventEnd,data.average.firstView.chromeUserTiming.loadEventStart,data.average.firstView.chromeUserTiming.responseEnd,data.average.firstView.chromeUserTiming.unloadEventEnd,data.average.firstView.chromeUserTiming.unloadEventStart,data.average.firstView.connections,data.average.firstView.cpu.Idle,data.average.firstView.cpu.Paint,data.average.firstView.date,data.average.firstView.docTime,data.average.firstView.domComplete,data.average.firstView.domContentLoadedEventEnd,data.average.firstView.domContentLoadedEventStart,data.average.firstView.domElements,data.average.firstView.domInteractive,data.average.firstView.domLoading,data.average.firstView.domTime,data.average.firstView.effectiveBps,data.average.firstView.effectiveBpsDoc,data.average.firstView.final_base_page_request,data.average.firstView.firstContentfulPaint,data.average.firstView.firstImagePaint,data.average.firstView.firstLayout,data.average.firstView.firstMeaningfulPaint,data.average.firstView.firstPaint,data.average.firstView.firstTextPaint,data.average.firstView.fullyLoaded,data.average.firstView.fullyLoadedCPUms,data.average.firstView.fullyLoadedCPUpct,data.average.firstView.gzip_savings,data.average.firstView.gzip_total,data.average.firstView.image_savings,data.average.firstView.image_total,data.average.firstView.lastVisualChange,data.average.firstView.lighthouse.Accessibility,data.average.firstView.lighthouse.BestPractices,data.average.firstView.lighthouse.Performance,data.average.firstView.lighthouse.Performance.estimated-input-latency,data.average.firstView.lighthouse.Performance.first-contentful-paint,data.average.firstView.lighthouse.Performance.first-cpu-idle,data.average.firstView.lighthouse.Performance.first-meaningful-paint,data.average.firstView.lighthouse.Performance.interactive,data.average.firstView.lighthouse.Performance.speed-index,data.average.firstView.lighthouse.ProgressiveWebApp,data.average.firstView.lighthouse.SEO,data.average.firstView.loadEventEnd,data.average.firstView.loadEventStart,data.average.firstView.loadTime,data.average.firstView.maybeCaptcha,data.average.firstView.minify_savings,data.average.firstView.minify_total,data.average.firstView.optimization_checked,data.average.firstView.render,data.average.firstView.requests,data.average.firstView.requestsDoc,data.average.firstView.requestsFull,data.average.firstView.responses_200,data.average.firstView.responses_404,data.average.firstView.responses_other,data.average.firstView.result,data.average.firstView.run,data.average.firstView.score_cache,data.average.firstView.score_cdn,data.average.firstView.score_combine,data.average.firstView.score_compress,data.average.firstView.score_cookies,data.average.firstView.score_etags,data.average.firstView.score_gzip,data.average.firstView.score_keep-alive,data.average.firstView.score_minify,data.average.firstView.score_progressive_jpeg,data.average.firstView.server_rtt,data.average.firstView.smallImageCount,data.average.firstView.start_epoch,data.average.firstView.step,data.average.firstView.testStartOffset,data.average.firstView.test_run_time_ms,data.average.firstView.titleTime,data.average.firstView.visualComplete,data.average.firstView.visualComplete85,data.average.firstView.visualComplete90,data.average.firstView.visualComplete95,data.average.firstView.visualComplete99,data.bwDown,data.bwUp,data.completed,data.connectivity,data.from,data.fvonly,data.id,data.latency,data.location,data.mobile,data.plr,data.successfulFVRuns,data.summary,data.testUrl,data.tester,data.url,speedtracker.day,speedtracker.month,speedtracker.slug,speedtracker.week,speedtracker.year,statusCode,statusText,webPagetestVersion
24,3002.0,2626.0,2626.400000001,2626.400000001,4047,1277,10757.0,2626.0,0,1,263,0,6859770,5137087,80461,40575,0,,9492,3001,2999,2998,1289,15,2626,2626,2584,2626,2626,2626,2626,9516,9492,1707,1288,1288,8,15702.0,0.0,1547503039.166814,9492,9492,3002,2999,1937,2999,0,0,475547,625330,0,2626,2626,2585,2626,2626.400000001,2626,15702,15909,51.6726209808,0,1509606,44202,1946833,15800,0.81,0.93,0.45,30.8660625,2536.974,7623.2080000000005,2670.147,7623.2080000000005,11652,0.23,0.73,9517,9493,9492,0,-1,-1,1,2600,334,191,334,286,0,48,0,1,90,94,-1,98,-1,-1,100,100,-1,0,0,109,0,1,0,27503,0,15800,2700,2800,2800,15800,9000,9000,1547503094,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190114_4E_e064e6141cd01817647ebb35c0aa2335,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190114_4E_e064e6141cd01817647ebb35c0aa2335,https://www.amazon.com/,VM01-07-192.168.10.65,https://www.amazon.com/,14,1,amazon-home,3,2019,200,Test Complete,18.1
24,,,2075.7999999987,2075.7999999987,3737,851,,,0,1,186,1,6738642,5106306,81956,41603,0,,9472,2450,2445,2445,858,12,2075,2075,2062,2174,2174,2075,2075,9488,9472,1217,857,857,9,,,1547504705.8493981,9472,9473,2451,2446,1969,2446,0,0,453353,592310,0,2076,2076,2062,2175,2075.7999999987,2076,15715,17899,60.16806722689999,0,1511829,12603,2030293,15800,0.81,0.93,0.4,35.1742222222,2251.508,7452.904,2364.251,9862.0359999924,11258,0.23,0.73,9489,9473,9472,0,-1,-1,1,2100,343,198,343,292,0,51,0,1,90,94,-1,100,-1,-1,100,100,-1,0,0,120,0,1,0,27174,0,15800,2300,2300,2500,15800,9000,9000,1547504763,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190114_GC_73a6214cc0a2575ac9d6d2d35fc0def8,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190114_GC_73a6214cc0a2575ac9d6d2d35fc0def8,https://www.amazon.com/,VM01-07-192.168.10.65,https://www.amazon.com/,14,1,amazon-home,3,2019,200,Test Complete,18.1
24,,2409.0,2409.6999999965,2409.6999999965,4822,1098,4742.0,,0,1,355,0,3898574,2273572,70553,38382,0,,7159,3454,3448,3448,1108,22,2409,2409,2377,2512,2512,2409,2409,7178,7159,1506,1107,1107,8,13208.0,0.0,1547572552.3278134,7159,7159,3455,3449,1916,3448,0,0,321930,375114,0,2410,2410,2377,2513,2409.6999999965,2410,13208,13099,50.0573175392,0,1509984,29089,1845690,9300,0.81,0.93,0.27,129.833,2379.2039999999997,12099.339,2379.212,21702.365,11310,0.23,0.73,7179,7159,7159,0,-1,-1,1,2400,319,184,319,274,0,45,0,1,92,97,-1,99,-1,-1,100,100,-1,0,0,110,0,1,0,23201,0,9300,9200,9200,9300,9300,9000,9000,1547572588,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190115_G1_7f49c89c3a8385723f3550ae303959f4,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190115_G1_7f49c89c3a8385723f3550ae303959f4,https://www.amazon.com/,VM02-07-192.168.10.75,https://www.amazon.com/,15,1,amazon-home,3,2019,200,Test Complete,18.1
24,,2123.0,2123.1999999982,2123.1999999982,5121,859,4434.0,,0,1,187,0,4060841,2337887,82448,39013,0,7346.0,6703,2363,2362,2362,870,20,2123,2123,2096,2243,2243,2123,2123,6731,6703,1214,867,867,9,15858.0,0.0,1547650052.143178,6703,6704,2364,2363,1917,2363,0,0,270740,400049,0,2123,2123,2097,2243,2123.1999999982,2123,15858,13720,38.7570621469,0,1499731,39685,1918869,14200,0.79,0.93,0.51,38.5199285714,2449.045,6761.749,2549.725,6761.7490000038,9817,0.5,0.73,6732,6704,6703,0,-1,-1,1,2200,331,184,331,284,0,47,0,1,89,94,-1,98,-1,-1,100,100,-1,0,0,104,0,1,0,27991,0,14200,14100,14100,14100,14200,9000,9000,1547650070,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190116_63_fd2891b29b794354d341fee46c6ac025,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190116_63_fd2891b29b794354d341fee46c6ac025,https://www.amazon.com/,VM04-06-192.168.10.94,https://www.amazon.com/,16,1,amazon-home,3,2019,200,Test Complete,18.1
24,,,2034.4000000004999,2034.4000000004999,4127,890,,,0,1,185,0,4172608,2417666,82414,39976,0,,7094,2302,2299,2299,898,16,2034,2034,2012,2098,2098,2034,2034,7117,7094,1248,898,898,8,,,1547731992.574001,7095,7095,2302,2300,1956,2300,0,0,334826,389631,0,2034,2034,2013,2098,2034.4000000004999,2034,13352,12920,48.86535552189999,0,1524002,110045,1989408,8700,0.79,0.93,0.51,48.1599375,2435.6620000000007,6742.448,2435.673,6742.448,10558,0.23,0.73,7117,7095,7095,0,-1,-1,1,2000,333,190,333,288,0,45,0,1,90,94,-1,95,-1,-1,100,100,-1,0,0,106,0,1,0,22814,0,8700,8600,8600,8700,8700,9000,9000,1547732024,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190117_SB_23bbb625d499fd043c56578355928085,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190117_SB_23bbb625d499fd043c56578355928085,https://www.amazon.com/,VM03-06-192.168.10.85,https://www.amazon.com/,17,1,amazon-home,3,2019,200,Test Complete,18.1
24,2492.0,2028.0,2028.5000000003,2028.5000000003,3795,862,7123.0,2028.0,0,1,200,0,4182651,2534550,80878,39771,0,,5910,2492,2489,2489,872,5,2028,2028,2019,2082,2082,2028,2028,5930,5911,1181,871,871,10,12097.0,0.0,1547775427.7328026,5911,5911,2492,2490,1962,2489,0,0,372287,501990,0,2029,2029,2019,2082,2028.5000000003,2029,12097,12500,51.824212272,0,1503911,37926,2106274,8300,0.79,0.93,0.49,35.9621111111,2500.333,7093.392,2560.165,7093.392,9810,0.23,0.73,5930,5911,5911,0,-1,-1,1,2000,332,189,332,287,0,45,0,1,89,94,-1,99,-1,-1,100,100,-1,0,0,96,0,1,0,21732,0,8300,8200,8300,8300,8300,9000,9000,1547775439,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190118_B5_1d3ac03c84c379cd447d90b873f534ef,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190118_B5_1d3ac03c84c379cd447d90b873f534ef,https://www.amazon.com/,VM04-07-192.168.10.95,https://www.amazon.com/,17,1,amazon-home,3,2019,200,Test Complete,18.1
24,2671.0,2215.0,2215.2999999998,2215.2999999998,4913,886,9002.0,2215.0,0,1,188,0,3978989,2343993,83907,39829,0,,7613,2670,2669,2669,894,12,2215,2215,2201,2215,2215,2215,2215,7631,7613,1200,893,893,9,14120.0,0.0,1547819512.5671868,7613,7613,2671,2670,1965,2670,0,0,300664,348445,0,2215,2215,2201,2215,2215.2999999998,2215,14120,14319,45.7946913975,0,1514697,57764,1923607,14600,0.79,0.93,0.49,46.3534,2617.327,6930.469,2617.327,6930.469,9636,0.23,0.73,7631,7613,7613,0,-1,-1,1,2200,337,191,337,290,0,47,0,1,90,94,-1,97,-1,-1,100,100,-1,0,0,110,0,1,0,25369,0,14600,14000,14000,14100,14500,9000,9000,1547819541,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190118_HW_2dfb21a07fb863ce516ccc461e5367f7,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190118_HW_2dfb21a07fb863ce516ccc461e5367f7,https://www.amazon.com/,VM03-07-192.168.10.86,https://www.amazon.com/,18,1,amazon-home,3,2019,200,Test Complete,18.1
24,,,2614.4000000004003,2614.4000000004003,6426,945,,,0,1,185,0,3861518,2220955,82323,41517,0,,9136,2740,2739,2739,953,10,2614,2614,2537,2614,2614,2614,2614,9156,9136,1299,952,952,8,,,1547863612.86638,9137,9136,2741,2739,1939,2739,0,0,267103,271112,0,2614,2614,2538,2614,2614.4000000004003,2614,15402,13310,40.030075188000005,0,1524587,53950,1793944,14800,0.79,0.93,0.54,32.587625,2592.555,5987.403,2687.732,5987.403,10466,0.5,0.73,9156,9137,9137,0,-1,-1,1,2600,331,189,331,285,0,46,0,1,90,94,-1,97,-1,-1,100,100,-1,0,0,113,0,1,0,25335,0,14800,14400,14400,14500,14700,9000,9000,1547863691,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190119_6A_115ba8bc142756339ae66441e900730d,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190119_6A_115ba8bc142756339ae66441e900730d,https://www.amazon.com/,VM01-03-192.168.10.61,https://www.amazon.com/,18,1,amazon-home,3,2019,200,Test Complete,18.1
24,2553.0,2295.0,2295.100000003,2294.9999999982997,5802,1048,8006.0,2295.0,0,1,397,0,3908641,2169621,82001,39034,0,,6736,2553,2551,2550,1066,14,2295,2295,2233,2295,2295,2295,2295,6755,6736,1452,1063,1063,9,13670.0,0.0,1547907732.2678401,6736,6736,2553,2551,1944,2551,0,0,309668,381438,0,2295,2295,2234,2295,2294.9999999982997,2295,13670,12540,40.6878650227,0,1556878,27474,1745953,14400,0.79,0.93,0.52,34.19955,2354.702,6833.688,2444.429,6833.688,8899,0.23,0.73,6755,6736,6736,0,-1,-1,1,2300,329,187,329,286,0,43,0,1,90,94,-1,99,-1,-1,100,100,-1,0,0,112,0,1,0,24043,0,14400,13500,13500,13700,14300,9000,9000,1547907740,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190119_PQ_a8de373c815853c834018badb9c35f64,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190119_PQ_a8de373c815853c834018badb9c35f64,https://www.amazon.com/,VM04-04-192.168.10.92,https://www.amazon.com/,19,1,amazon-home,3,2019,200,Test Complete,18.1
24,,,2059.3999999983,2059.3999999983,3264,872,,,0,1,190,0,4028215,2381864,79509,38992,0,,6883,2373,2368,2368,882,13,2059,2059,2044,2059,2059,2059,2059,6908,6883,1189,881,881,8,,,1547951816.311239,6884,6884,2373,2369,1935,2369,0,0,329776,396184,0,2059,2059,2045,2059,2059.3999999983,2059,13087,13400,51.9581233036,0,1487636,45973,1955845,8500,0.79,0.93,0.51,38.524764705900004,2269.268,7186.71,2371.552,7186.71,8845,0.5,0.73,6908,6884,6884,0,-1,-1,1,2100,329,186,329,285,0,44,0,1,89,94,-1,98,-1,-1,100,100,-1,0,0,100,0,1,0,22153,0,8500,2700,8400,8500,8500,9000,9000,1547951841,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190120_PP_931d7c382c4d1ca91cfb79e86e85eb78,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190120_PP_931d7c382c4d1ca91cfb79e86e85eb78,https://www.amazon.com/,VM03-02-192.168.10.81,https://www.amazon.com/,19,1,amazon-home,3,2019,200,Test Complete,18.1
